127.0.0.1 - - [03/Jul/2025:14:20:18 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [03/Jul/2025:14:20:19 +0530] "GET /ProjectStudent/home.html HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [03/Jul/2025:14:20:19 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Jul/2025:14:20:23 +0530] "GET /ProjectStudent/displayAllStudents? HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [03/Jul/2025:14:20:25 +0530] "GET /ProjectStudent/home.html? HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [03/Jul/2025:14:20:26 +0530] "GET /ProjectStudent/addStudent.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2025:14:20:50 +0530] "POST /ProjectStudent/addStudent HTTP/1.1" 500 577
0:0:0:0:0:0:0:1 - - [03/Jul/2025:14:20:53 +0530] "GET /ProjectStudent/displayAllStudents? HTTP/1.1" 200 1373
0:0:0:0:0:0:0:1 - - [03/Jul/2025:15:00:19 +0530] "GET /ProjectStudent/displayAllStudents? HTTP/1.1" 200 1373
0:0:0:0:0:0:0:1 - - [03/Jul/2025:15:00:21 +0530] "GET /ProjectStudent/editStudent?id=11 HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [03/Jul/2025:15:00:36 +0530] "GET /ProjectStudent/displayAllStudents? HTTP/1.1" 200 1373
0:0:0:0:0:0:0:1 - - [03/Jul/2025:15:00:40 +0530] "POST /ProjectStudent/updateStudent HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2025:15:00:40 +0530] "GET /ProjectStudent/displayAllStudents HTTP/1.1" 200 1373
0:0:0:0:0:0:0:1 - - [03/Jul/2025:15:00:45 +0530] "GET /ProjectStudent/editStudent?id=11 HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [03/Jul/2025:15:00:49 +0530] "POST /ProjectStudent/updateStudent HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2025:15:00:49 +0530] "GET /ProjectStudent/displayAllStudents HTTP/1.1" 200 1382
0:0:0:0:0:0:0:1 - - [03/Jul/2025:15:00:52 +0530] "GET /ProjectStudent/editStudent?id=11 HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [03/Jul/2025:15:00:59 +0530] "POST /ProjectStudent/updateStudent HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2025:15:00:59 +0530] "GET /ProjectStudent/displayAllStudents HTTP/1.1" 200 1371
